,Year,Genre,North America,Europe,Japan,Rest of World,Global,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
51,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
52,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.01,0.06
53,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.04
54,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.0,0.01,0.21
56,0.990108803165183,0,0.0,0.0,0.0,0.0,0.0,0.2,0.16,0.0,0.05,0.41
57,0.9960435212660732,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.05
58,0.9975272007912958,0,0.07,0.04,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0
59,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11
60,0.9896142433234422,1,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.0,0.01,0.27
61,0.9881305637982196,1,0.0,0.0,0.0,0.0,0.0,0.45,0.02,0.0,0.0,0.47
62,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
63,0.9920870425321464,1,0.0,0.0,0.0,0.0,0.0,0.08,0.9,0.02,0.0,1.0
64,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02
65,0.9940652818991098,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.07
66,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.02,0.28
67,0.9930761622156281,1,0.0,0.0,0.0,0.0,0.0,0.93,0.56,0.0,0.16,1.66
68,0.9881305637982196,1,0.0,0.0,0.0,0.0,0.0,0.59,0.02,0.0,0.0,0.62
69,0.9970326409495549,0,0.0,0.0,0.0,0.0,0.0,0.28,0.29,0.0,0.05,0.62
70,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.09
71,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
72,0.9896142433234422,0,0.0,0.0,0.0,0.0,0.0,6.99,4.51,0.3,1.3,13.1
73,0.9906033630069239,0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.0,0.01,0.23
74,0.9925816023738873,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05
75,0.9910979228486647,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
76,0.9915924826904056,0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.1
77,0.9975272007912958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.9876360039564788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17
79,0.9945598417408507,1,0.0,0.0,0.0,0.0,0.0,0.17,0.03,0.0,0.03,0.23
80,0.9881305637982196,0,0.0,0.0,0.0,0.0,0.0,0.19,0.13,0.0,0.02,0.34
81,0.9930761622156281,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03
82,0.993570722057369,1,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.01,0.12
83,0.9945598417408507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24
84,0.9881305637982196,1,0.0,0.0,0.0,0.0,0.0,0.38,0.26,0.0,0.05,0.69
85,0.9970326409495549,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
86,0.993570722057369,1,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.1,0.98
87,0.996538081107814,0,0.11,0.09,0.0,0.04,0.24,0.0,0.0,0.0,0.0,0.0
88,0.996538081107814,0,0.97,0.46,0.0,0.14,1.58,0.0,0.0,0.0,0.0,0.0
89,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05
90,0.990108803165183,1,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.01,0.08
91,0.9906033630069239,1,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.12
92,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.09,0.84
93,0.990108803165183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.2
94,0.9891196834817013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09
95,0.9970326409495549,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.05
96,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.9925816023738873,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03
99,0.9871414441147379,1,0.0,0.0,0.0,0.0,0.0,0.73,0.5,0.0,0.09,1.32
100,0.9891196834817013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06
101,0.996538081107814,0,0.9,2.06,0.08,0.55,3.6,0.0,0.0,0.0,0.0,0.0
102,0.993570722057369,0,0.0,0.0,0.0,0.0,0.0,0.2,0.34,0.0,0.07,0.61
103,0.9955489614243324,1,0.0,0.0,0.0,0.0,0.0,2.1,0.19,0.0,0.23,2.52
